ED,ActualX,ActualY,EstimatedX,EstimatedY,Error
0,366.629,361.968,324.512,403.595,59.2175
1,-231.023,-439.531,-205.806,-404.375,43.2642
2,-26.6799,775.426,-21.7809,775.52,4.89995
3,265.009,-308.8,267.879,-322.828,14.3187
4,178.492,-98.5159,182.899,-98.1059,4.42597
5,262.836,-378.562,305.033,-339.306,57.6345
6,305.441,-320.629,271.876,-342.985,40.329
7,-411.463,-604.047,-391.434,-649.872,50.0113
8,363.174,577.015,327.298,578.257,35.8971
9,295.012,-889.884,214.062,-935.391,92.8645
10,-636.058,-613.282,-642.435,-586.006,28.0114
11,-255.025,-736.32,-226.191,-625.627,114.387
12,358.715,432.901,386.038,392.842,48.4901
13,321.577,-310.631,311.595,-341.927,32.8497
14,659.754,-518.362,653.634,-525.492,9.39594
15,2.89435,-12.9085,27.4513,32.3531,51.4942
16,724.358,-15.1338,752.144,-6.55578,29.0797
17,749.78,356.906,639.166,418.694,126.702
18,636.797,629.837,624.889,640.36,15.891
19,-150.385,-986.579,-147.235,-954.381,32.3508
20,-764.738,159.78,-740.674,222.498,67.1767
21,-366.627,173.931,-336.649,202.97,41.7366
22,-420.542,-639.806,-398.691,-637.89,21.9353
23,-58.4995,528.04,-53.5639,564.067,36.3632
24,-437.774,-439.775,-441.802,-405.35,34.6598
25,-84.8654,-573.197,-66.2206,-558.762,23.5794
26,-5.92907,-788.645,1.44668,-825.236,37.3268
27,-18.6053,-721.664,-51.5281,-728.078,33.5419
28,-9.56567,933.8,-1.61703,874.624,59.7073
29,-822.702,349.032,-822.038,395.122,46.0942
30,-79.5203,163.417,-20.993,165.65,58.5699
31,-595.603,-104.131,-559.687,-89.4207,38.8113
32,-391.152,-181.101,-354.947,-202.605,42.1091
33,935.023,-55.945,978.523,-57.0756,43.5152
34,-763.478,-23.1869,-721.747,-31.1235,42.4793
35,-345.231,-23.5262,-372.421,3.07186,38.0363
36,209.331,192.946,62.9484,82.3384,183.472
37,-224.361,557.713,-180.144,541.901,46.9592
38,840.142,16.9912,832.876,5.24583,13.8109
39,-374.606,346.714,-407.539,311.327,48.3406
40,-214.16,202.561,-158.93,211.439,55.9389
41,-404.913,257.636,-481.771,225.758,83.2076
42,440.896,-581.201,456.341,-653.923,74.3439
43,506.023,685.733,497.377,645.692,40.9639
44,387.976,-463.154,411.376,-408.283,59.6522
45,-115.021,-908.371,-98.845,-883.005,30.0845
46,305.102,73.7633,308.365,81.7959,8.67019
47,-390.903,-104.35,-267.737,-217.111,166.988
48,238.2,-471.648,247.581,-488.757,19.5117
49,988.624,-51.1461,984.815,-5.37595,45.9284
50,435.8,-508.31,417.812,-655.793,148.576
51,387.957,-447.008,384.817,-414.53,32.6293
52,230.008,-743.501,276.554,-746.686,46.6552
53,-768.928,414.731,-802.147,344.51,77.6821
54,185.131,200.755,167.464,212.033,20.9603
55,-596.963,471.246,-588.543,519.911,49.3882
56,-199.217,289.995,-245.634,318.078,54.2513
57,101.181,-941.702,84.2217,-952.668,20.1954
58,632.333,-648.99,657.518,-570.477,82.4529
59,-267.96,490.881,-338.415,553.067,93.974
60,-12.483,-837.72,-94.5174,-846.549,82.5081
61,-64.8211,85.7486,-99.5509,57.3504,44.8623
62,-172.918,-300.269,-122.572,-233.013,84.0123
63,802.694,640.414,766.536,635.5,36.4902
64,-630.117,-129.858,-638.853,-130.406,8.7535
65,-632.209,-115.13,-598.86,-52.2249,71.1982
66,762.425,-353.96,719.72,-404.872,66.4518
67,513.692,755.907,493.488,796.538,45.3764
68,492,-611.021,441.315,-624.009,52.3224
69,247.133,-232.092,252.046,-240.317,9.58015
70,648.794,-13.9576,626.435,4.67659,29.1065
71,-390.627,-76.7372,-404.863,-69.1846,16.115
72,-870.049,68.1663,-834.299,112.31,56.8045
73,777.29,133.213,764.646,184.078,52.4132
74,236.113,-60.2739,190.549,-61.8673,45.592
75,39.1347,-111.037,-3.86234,-94.2731,46.1495
76,683.656,-734.342,666.462,-730.034,17.726
77,524.837,-730.781,520.013,-758.838,28.4696
78,841.744,-436.612,812.989,-438.397,28.8104
79,-603.269,-227.439,-592.409,-241.873,18.0635
80,984.27,-56.343,988.238,-30.3671,26.2772
81,420.17,-282.681,413.682,-260.262,23.3386
82,573.758,833.855,592.988,846.411,22.9659
83,-964.256,-89.9373,-938.76,-85.8865,25.8155
84,395.72,747.61,422.22,805.996,64.1186
85,-670.253,543.998,-634.03,579.208,50.5167
86,-560.431,707.097,-668.898,649.304,122.903
88,-315.785,367.152,-307.264,421.085,54.6019
89,-774.724,107.463,-758.105,65.1854,45.4267
90,274.487,147.144,299.265,184.325,44.6812
91,-102.651,-111.971,-166.907,-158.806,79.5138
92,736.833,-670.796,716.234,-647.745,30.914
93,-273.6,-448.072,-211.442,-465.981,64.6868
94,-355.385,732.137,-441.552,692.536,94.8311
95,-166.928,-411.526,-228.384,-431.448,64.604
96,-751.552,-293.908,-742.132,-394.391,100.923
97,898.452,293.032,888.776,324.923,33.3266
98,736.887,-365.199,752.111,-410.348,47.647
99,-314.653,-769.925,-324.05,-785.795,18.4434
